event_id,year,method,p_seapar,mapped_coarse_smoothing,common_support_segment_id,reference_event_time,reference_magnitude,yearly_scale_q95_minus_q05,event_status,event_unavailable_reason,matching_window_days,magnitude_used_for_matching,matched_candidate_id,reconstructed_event_time,signed_timing_error_days,absolute_timing_error_days,success_5d,success_10d,success_15d,reconstructed_magnitude,signed_magnitude_error,absolute_magnitude_error,normalized_absolute_magnitude_error,magnitude_metric_status,magnitude_metric_reason,scenario_id
ERK_2020_E02,2020,B1_2020_p_seapar_0.5,0.5,25500,2020_segment_2,2020-08-09,38.953600000000002,21.051459000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B1_2020_p_seapar_0.5
ERK_2020_E03,2020,B1_2020_p_seapar_0.5,0.5,25500,2020_segment_2,2020-09-09,42.731900000000003,21.051459000000001,matched,,15,False,REC_2020_P001,2020-08-29T00:00:00,-11,11,False,False,True,13.446290969848633,-29.28560903015137,29.28560903015137,1.391143912170238,ok,,B1_2020_p_seapar_0.5
ERK_2020_E01,2020,B1_2020_p_seapar_0.6,0.59999999999999998,30400,2020_segment_2,2020-04-18,22.152100000000001,21.051459000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B1_2020_p_seapar_0.6
ERK_2020_E02,2020,B1_2020_p_seapar_0.6,0.59999999999999998,30400,2020_segment_2,2020-08-09,38.953600000000002,21.051459000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B1_2020_p_seapar_0.6
ERK_2020_E03,2020,B1_2020_p_seapar_0.6,0.59999999999999998,30400,2020_segment_2,2020-09-09,42.731900000000003,21.051459000000001,matched,,15,False,REC_2020_P001,2020-08-29T00:00:00,-11,11,False,False,True,13.442007064819336,-29.289892935180667,29.289892935180667,1.3913474089933939,ok,,B1_2020_p_seapar_0.6
ERK_2020_E01,2020,B1_2020_p_seapar_0.7,0.69999999999999996,35300,2020_segment_2,2020-04-18,22.152100000000001,21.051459000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B1_2020_p_seapar_0.7
ERK_2020_E02,2020,B1_2020_p_seapar_0.7,0.69999999999999996,35300,2020_segment_2,2020-08-09,38.953600000000002,21.051459000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B1_2020_p_seapar_0.7
ERK_2020_E03,2020,B1_2020_p_seapar_0.7,0.69999999999999996,35300,2020_segment_2,2020-09-09,42.731900000000003,21.051459000000001,matched,,15,False,REC_2020_P001,2020-08-29T00:00:00,-11,11,False,False,True,13.464140892028809,-29.267759107971195,29.267759107971195,1.3902959936397374,ok,,B1_2020_p_seapar_0.7
ERK_2020_E01,2020,B1_2020_p_seapar_0.8,0.80000000000000004,40200,2020_segment_2,2020-04-18,22.152100000000001,21.051459000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B1_2020_p_seapar_0.8
ERK_2020_E02,2020,B1_2020_p_seapar_0.8,0.80000000000000004,40200,2020_segment_2,2020-08-09,38.953600000000002,21.051459000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B1_2020_p_seapar_0.8
ERK_2020_E03,2020,B1_2020_p_seapar_0.8,0.80000000000000004,40200,2020_segment_2,2020-09-09,42.731900000000003,21.051459000000001,matched,,15,False,REC_2020_P001,2020-08-29T00:00:00,-11,11,False,False,True,13.462494850158691,-29.269405149841312,29.269405149841312,1.3903741849836304,ok,,B1_2020_p_seapar_0.8
ERK_2020_E01,2020,B1_2020_p_seapar_0.9,0.90000000000000002,45100,2020_segment_2,2020-04-18,22.152100000000001,21.051459000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B1_2020_p_seapar_0.9
ERK_2020_E02,2020,B1_2020_p_seapar_0.9,0.90000000000000002,45100,2020_segment_2,2020-08-09,38.953600000000002,21.051459000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B1_2020_p_seapar_0.9
ERK_2020_E03,2020,B1_2020_p_seapar_0.9,0.90000000000000002,45100,2020_segment_2,2020-09-09,42.731900000000003,21.051459000000001,matched,,15,False,REC_2020_P001,2020-08-29T00:00:00,-11,11,False,False,True,13.459156036376953,-29.27274396362305,29.27274396362305,1.390532787472025,ok,,B1_2020_p_seapar_0.9
ERK_2020_E01,2020,B1_2020_p_seapar_1.0,1,50000,2020_segment_2,2020-04-18,22.152100000000001,21.051459000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B1_2020_p_seapar_1.0
