event_id,year,method,p_seapar,coarse_smoothing,common_support_segment_id,reference_event_time,reference_magnitude,yearly_scale_q95_minus_q05,event_status,event_unavailable_reason,matching_window_days,magnitude_used_for_matching,matched_candidate_id,reconstructed_event_time,signed_timing_error_days,absolute_timing_error_days,success_5d,success_10d,success_15d,reconstructed_magnitude,signed_magnitude_error,absolute_magnitude_error,normalized_absolute_magnitude_error,magnitude_metric_status,magnitude_metric_reason,scenario_id
ERK_2020_E01,2020,B2_2020_coarse_3,1,3,2020_segment_2,2020-04-18,22.152100000000001,21.051459000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B2_2020_coarse_3
ERK_2020_E02,2020,B2_2020_coarse_3,1,3,2020_segment_2,2020-08-09,38.953600000000002,21.051459000000001,matched,,15,False,REC_2020_P003,2020-08-07,-2,2,True,True,True,12.927396774291992,-26.026203225708009,26.026203225708009,1.2363135127930092,ok,,B2_2020_coarse_3
ERK_2020_E03,2020,B2_2020_coarse_3,1,3,2020_segment_2,2020-09-09,42.731900000000003,21.051459000000001,matched,,15,False,REC_2020_P004,2020-09-07,-2,2,True,True,True,18.257453918457031,-24.474446081542972,24.474446081542972,1.1626009428393049,ok,,B2_2020_coarse_3
ERK_2020_E01,2020,B2_2020_coarse_1,1,1,2020_segment_2,2020-04-18,22.152100000000001,21.051459000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B2_2020_coarse_1
ERK_2020_E02,2020,B2_2020_coarse_1,1,1,2020_segment_2,2020-08-09,38.953600000000002,21.051459000000001,matched,,15,False,REC_2020_P003,2020-07-31,-9,9,False,True,True,15.233139991760254,-23.720460008239748,23.720460008239748,1.1267846094771743,ok,,B2_2020_coarse_1
ERK_2020_E03,2020,B2_2020_coarse_1,1,1,2020_segment_2,2020-09-09,42.731900000000003,21.051459000000001,matched,,15,False,REC_2020_P004,2020-09-11,2,2,True,True,True,15.49650764465332,-27.235392355346683,27.235392355346683,1.2937531956975847,ok,,B2_2020_coarse_1
ERK_2020_E01,2020,B2_2020_coarse_0,1,0,2020_segment_2,2020-04-18,22.152100000000001,21.051459000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B2_2020_coarse_0
ERK_2020_E02,2020,B2_2020_coarse_0,1,0,2020_segment_2,2020-08-09,38.953600000000002,21.051459000000001,matched,,15,False,REC_2020_P004,2020-08-03,-6,6,False,True,True,16.298898696899414,-22.654701303100587,22.654701303100587,1.0761582512214753,ok,,B2_2020_coarse_0
ERK_2020_E03,2020,B2_2020_coarse_0,1,0,2020_segment_2,2020-09-09,42.731900000000003,21.051459000000001,matched,,15,False,REC_2020_P005,2020-09-14,5,5,True,True,True,16.255586624145508,-26.476313375854495,26.476313375854495,1.2576949358167762,ok,,B2_2020_coarse_0
ERK_2021_E01,2021,B2_2021_coarse_1000,1,1000,2021_segment_1,2021-04-08,37.868200000000002,22.156310000000001,matched,,15,False,REC_2021_P001,2021-04-04,-4,4,True,True,True,22.145103454589844,-15.723096545410158,15.723096545410158,0.70964418467741952,ok,,B2_2021_coarse_1000
ERK_2021_E02,2021,B2_2021_coarse_1000,1,1000,2021_segment_1,2021-08-09,25.183499999999999,22.156310000000001,matched,,15,False,REC_2021_P002,2021-08-12,3,3,True,True,True,16.305395126342773,-8.8781048736572252,8.8781048736572252,0.40070322511542872,ok,,B2_2021_coarse_1000
ERK_2021_E01,2021,B2_2021_coarse_300,1,300,2021_segment_1,2021-04-08,37.868200000000002,22.156310000000001,matched,,15,False,REC_2021_P001,2021-04-03,-5,5,True,True,True,22.239913940429688,-15.628286059570314,15.628286059570314,0.70536502060001471,ok,,B2_2021_coarse_300
ERK_2021_E02,2021,B2_2021_coarse_300,1,300,2021_segment_1,2021-08-09,25.183499999999999,22.156310000000001,matched,,15,False,REC_2021_P002,2021-08-12,3,3,True,True,True,17.069656372070312,-8.1138436279296862,8.1138436279296862,0.36620915792971326,ok,,B2_2021_coarse_300
ERK_2021_E01,2021,B2_2021_coarse_100,1,100,2021_segment_1,2021-04-08,37.868200000000002,22.156310000000001,matched,,15,False,REC_2021_P001,2021-04-04,-4,4,True,True,True,22.067913055419922,-15.80028694458008,15.80028694458008,0.71312808606577893,ok,,B2_2021_coarse_100
ERK_2021_E02,2021,B2_2021_coarse_100,1,100,2021_segment_1,2021-08-09,25.183499999999999,22.156310000000001,matched,,15,False,REC_2021_P002,2021-08-12,3,3,True,True,True,16.799224853515625,-8.3842751464843737,8.3842751464843737,0.37841477874629725,ok,,B2_2021_coarse_100
ERK_2021_E01,2021,B2_2021_coarse_30,1,30,2021_segment_1,2021-04-08,37.868200000000002,22.156310000000001,matched,,15,False,REC_2021_P001,2021-04-03,-5,5,True,True,True,23.654159545898438,-14.214040454101564,14.214040454101564,0.64153464426619611,ok,,B2_2021_coarse_30
ERK_2021_E02,2021,B2_2021_coarse_30,1,30,2021_segment_1,2021-08-09,25.183499999999999,22.156310000000001,matched,,15,False,REC_2021_P003,2021-08-13,4,4,True,True,True,17.367565155029297,-7.8159348449707018,7.8159348449707018,0.35276338185242495,ok,,B2_2021_coarse_30
ERK_2021_E01,2021,B2_2021_coarse_10,1,10,2021_segment_1,2021-04-08,37.868200000000002,22.156310000000001,matched,,15,False,REC_2021_P001,2021-04-01,-7,7,False,True,True,22.534664154052734,-15.333535845947267,15.333535845947267,0.69206180297835096,ok,,B2_2021_coarse_10
ERK_2021_E02,2021,B2_2021_coarse_10,1,10,2021_segment_1,2021-08-09,25.183499999999999,22.156310000000001,matched,,15,False,REC_2021_P003,2021-08-12,3,3,True,True,True,16.477134704589844,-8.7063652954101549,8.7063652954101549,0.39295195343494266,ok,,B2_2021_coarse_10
ERK_2021_E01,2021,B2_2021_coarse_3,1,3,2021_segment_1,2021-04-08,37.868200000000002,22.156310000000001,matched,,15,False,REC_2021_P001,2021-04-05,-3,3,True,True,True,29.272090911865234,-8.5961090881347673,8.5961090881347673,0.38797566418481988,ok,,B2_2021_coarse_3
ERK_2021_E02,2021,B2_2021_coarse_3,1,3,2021_segment_1,2021-08-09,25.183499999999999,22.156310000000001,matched,,15,False,REC_2021_P004,2021-08-06,-3,3,True,True,True,17.572427749633789,-7.6110722503662096,7.6110722503662096,0.34351714028040814,ok,,B2_2021_coarse_3
ERK_2021_E01,2021,B2_2021_coarse_1,1,1,2021_segment_1,2021-04-08,37.868200000000002,22.156310000000001,matched,,15,False,REC_2021_P001,2021-04-07,-1,1,True,True,True,20.417760848999023,-17.450439151000978,17.450439151000978,0.78760584009706391,ok,,B2_2021_coarse_1
