product_id,product_level,source_relative_path,platform,sensing_datetime_utc,acquisition_date,year,tile_id,relative_orbit,processing_baseline,generation_time_utc,product_uri,metadata_tile_id,acquisition_metadata_complete,band_asset_count,qa_asset_count,scl_asset_count,B4_raster_count,B5_raster_count,B6_raster_count,discovery_status
S2A_MSIL2A_20170606T102031_N0500_R065_T33UVB_20231114T083112,L2A,S2A_MSIL2A_20170606T102031_N0500_R065_T33UVB_20231114T083112.SAFE,S2A,2017-06-06T10:20:31Z,2017-06-06,2017,T33UVB,65,N0500,2023-11-14T08:31:12Z,S2A_MSIL2A_20170606T102031_N0500_R065_T33UVB_20231114T083112.SAFE,,True,25,31,2,3,2,2,inventoried
S2A_MSIL2A_20170609T103021_N0500_R108_T33UVB_20231112T152247,L2A,S2A_MSIL2A_20170609T103021_N0500_R108_T33UVB_20231112T152247.SAFE,S2A,2017-06-09T10:30:21Z,2017-06-09,2017,T33UVB,108,N0500,2023-11-12T15:22:47Z,S2A_MSIL2A_20170609T103021_N0500_R108_T33UVB_20231112T152247.SAFE,,True,25,31,2,3,2,2,inventoried
S2B_MSIL2A_20170611T102019_N0500_R065_T33UVB_20230921T210041,L2A,S2B_MSIL2A_20170611T102019_N0500_R065_T33UVB_20230921T210041.SAFE,S2B,2017-06-11T10:20:19Z,2017-06-11,2017,T33UVB,65,N0500,2023-09-21T21:00:41Z,S2B_MSIL2A_20170611T102019_N0500_R065_T33UVB_20230921T210041.SAFE,,True,25,31,2,3,2,2,inventoried
S2B_MSIL2A_20170614T103019_N0500_R108_T33UVB_20230905T081728,L2A,S2B_MSIL2A_20170614T103019_N0500_R108_T33UVB_20230905T081728.SAFE,S2B,2017-06-14T10:30:19Z,2017-06-14,2017,T33UVB,108,N0500,2023-09-05T08:17:28Z,S2B_MSIL2A_20170614T103019_N0500_R108_T33UVB_20230905T081728.SAFE,,True,25,31,2,3,2,2,inventoried
S2A_MSIL2A_20170616T102021_N0500_R065_T33UVB_20231012T233639,L2A,S2A_MSIL2A_20170616T102021_N0500_R065_T33UVB_20231012T233639.SAFE,S2A,2017-06-16T10:20:21Z,2017-06-16,2017,T33UVB,65,N0500,2023-10-12T23:36:39Z,S2A_MSIL2A_20170616T102021_N0500_R065_T33UVB_20231012T233639.SAFE,,True,25,31,2,3,2,2,inventoried
S2A_MSIL2A_20170619T103021_N0500_R108_T33UVB_20230906T011027,L2A,S2A_MSIL2A_20170619T103021_N0500_R108_T33UVB_20230906T011027.SAFE,S2A,2017-06-19T10:30:21Z,2017-06-19,2017,T33UVB,108,N0500,2023-09-06T01:10:27Z,S2A_MSIL2A_20170619T103021_N0500_R108_T33UVB_20230906T011027.SAFE,,True,25,31,2,3,2,2,inventoried
S2B_MSIL2A_20170621T102029_N0500_R065_T33UVB_20231012T221252,L2A,S2B_MSIL2A_20170621T102029_N0500_R065_T33UVB_20231012T221252.SAFE,S2B,2017-06-21T10:20:29Z,2017-06-21,2017,T33UVB,65,N0500,2023-10-12T22:12:52Z,S2B_MSIL2A_20170621T102029_N0500_R065_T33UVB_20231012T221252.SAFE,,True,25,31,2,3,2,2,inventoried
S2B_MSIL2A_20170624T103019_N0500_R108_T33UVB_20230905T191421,L2A,S2B_MSIL2A_20170624T103019_N0500_R108_T33UVB_20230905T191421.SAFE,S2B,2017-06-24T10:30:19Z,2017-06-24,2017,T33UVB,108,N0500,2023-09-05T19:14:21Z,S2B_MSIL2A_20170624T103019_N0500_R108_T33UVB_20230905T191421.SAFE,,True,25,31,2,3,2,2,inventoried
S2A_MSIL2A_20170626T102021_N0500_R065_T33UVB_20231009T052226,L2A,S2A_MSIL2A_20170626T102021_N0500_R065_T33UVB_20231009T052226.SAFE,S2A,2017-06-26T10:20:21Z,2017-06-26,2017,T33UVB,65,N0500,2023-10-09T05:22:26Z,S2A_MSIL2A_20170626T102021_N0500_R065_T33UVB_20231009T052226.SAFE,,True,25,31,2,3,2,2,inventoried
S2A_MSIL2A_20170629T103021_N0500_R108_T33UVB_20231017T185917,L2A,S2A_MSIL2A_20170629T103021_N0500_R108_T33UVB_20231017T185917.SAFE,S2A,2017-06-29T10:30:21Z,2017-06-29,2017,T33UVB,108,N0500,2023-10-17T18:59:17Z,S2A_MSIL2A_20170629T103021_N0500_R108_T33UVB_20231017T185917.SAFE,,True,25,31,2,3,2,2,inventoried
