omitted_year,method_a,method_b,metric,metric_label,unit,favorable_direction,mean_advantage_for_method_a_after_omission,n_paired_years_retained
2025,linear_interpolation,timesat_smoothing_spline,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,30.453615587512406,6
2019,linear_interpolation,timesat_smoothing_spline,absolute_peak_date_error_days,absolute global-peak date error,days,lower,22,6
2020,linear_interpolation,timesat_smoothing_spline,absolute_peak_date_error_days,absolute global-peak date error,days,lower,3.3333333333333335,6
2021,linear_interpolation,timesat_smoothing_spline,absolute_peak_date_error_days,absolute global-peak date error,days,lower,22.833333333333332,6
2022,linear_interpolation,timesat_smoothing_spline,absolute_peak_date_error_days,absolute global-peak date error,days,lower,22.166666666666668,6
2023,linear_interpolation,timesat_smoothing_spline,absolute_peak_date_error_days,absolute global-peak date error,days,lower,23.166666666666668,6
2024,linear_interpolation,timesat_smoothing_spline,absolute_peak_date_error_days,absolute global-peak date error,days,lower,23.5,6
2025,linear_interpolation,timesat_smoothing_spline,absolute_peak_date_error_days,absolute global-peak date error,days,lower,23,6
2019,linear_interpolation,timesat_smoothing_spline,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,5.5118323384602874,6
2020,linear_interpolation,timesat_smoothing_spline,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,2.8740792846679688,6
2021,linear_interpolation,timesat_smoothing_spline,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,4.2435810963948564,6
2022,linear_interpolation,timesat_smoothing_spline,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,5.5335956349690756,6
2023,linear_interpolation,timesat_smoothing_spline,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,5.4470225840250661,6
2024,linear_interpolation,timesat_smoothing_spline,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,5.1032954559326171,6
2025,linear_interpolation,timesat_smoothing_spline,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,5.4191595174153653,6
2019,linear_interpolation,timesat_smoothing_spline,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.026176307971857164,6
2020,linear_interpolation,timesat_smoothing_spline,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.022896524082308783,6
2021,linear_interpolation,timesat_smoothing_spline,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.019145267282231083,6
2022,linear_interpolation,timesat_smoothing_spline,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.022690120468037148,6
2023,linear_interpolation,timesat_smoothing_spline,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.017728215620353944,6
2024,linear_interpolation,timesat_smoothing_spline,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.016812939712715112,6
2025,linear_interpolation,timesat_smoothing_spline,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.023136321750011846,6
2019,linear_interpolation,timesat_smoothing_spline,mae,point-wise MAE,ug_L,lower,0.30851588993434781,6
2020,linear_interpolation,timesat_smoothing_spline,mae,point-wise MAE,ug_L,lower,0.2164079902505488,6
2021,linear_interpolation,timesat_smoothing_spline,mae,point-wise MAE,ug_L,lower,0.20162529299655996,6
2022,linear_interpolation,timesat_smoothing_spline,mae,point-wise MAE,ug_L,lower,0.29677819437403591,6
