method,duration_days,observations_removed,analysis_role,metric,metric_label,unit,favorable_direction,equal_year_estimate,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,n_years_in_stratum,n_years_metric_available,n_scenarios_total,n_reconstruction_failures_total,n_metric_available_total,n_metric_unavailable_total,a_gap_observed_minimum,a_gap_observed_maximum,window_midpoint_relative_position_observed_minimum,window_midpoint_relative_position_observed_maximum,observations_removed_observed_minimum,observations_removed_observed_maximum,resulting_maximum_internal_gap_days_observed_minimum,resulting_maximum_internal_gap_days_observed_maximum
linear_interpolation,20,1,primary_controlled_consecutive_gap,absolute_peak_date_error_days,absolute global-peak date error,days,lower,34.571428571428569,1.5714285714285714,91.285714285714292,7,7,196,0,196,0,0.025285744316099298,3.8536867819629417,0.046666666666666502,0.95961538461538465,1,1,22,52
linear_interpolation,20,1,primary_controlled_consecutive_gap,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.078429515439833813,0.047201212437889085,0.12394330205129554,7,7,196,0,196,0,0.025285744316099298,3.8536867819629417,0.046666666666666502,0.95961538461538465,1,1,22,52
linear_interpolation,20,1,primary_controlled_consecutive_gap,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.79732510969717985,0.23342993254786143,1.4228206972599915,7,7,196,0,196,0,0.025285744316099298,3.8536867819629417,0.046666666666666502,0.95961538461538465,1,1,22,52
linear_interpolation,20,1,primary_controlled_consecutive_gap,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.20443424246812733,0.15351403394469174,0.2513886777347335,7,7,196,0,196,0,0.025285744316099298,3.8536867819629417,0.046666666666666502,0.95961538461538465,1,1,22,52
linear_interpolation,20,1,primary_controlled_consecutive_gap,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.7142857142857143,0.42857142857142855,1,7,7,196,0,196,0,0.025285744316099298,3.8536867819629417,0.046666666666666502,0.95961538461538465,1,1,22,52
linear_interpolation,20,1,primary_controlled_consecutive_gap,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.7142857142857143,0.42857142857142855,1,7,7,196,0,196,0,0.025285744316099298,3.8536867819629417,0.046666666666666502,0.95961538461538465,1,1,22,52
linear_interpolation,20,1,primary_controlled_consecutive_gap,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.5714285714285714,0.14285714285714285,0.8571428571428571,7,7,196,0,196,0,0.025285744316099298,3.8536867819629417,0.046666666666666502,0.95961538461538465,1,1,22,52
linear_interpolation,20,1,primary_controlled_consecutive_gap,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.85954712749905293,0.81354782194205577,0.90934362514909939,7,7,196,0,196,0,0.025285744316099298,3.8536867819629417,0.046666666666666502,0.95961538461538465,1,1,22,52
linear_interpolation,20,1,primary_controlled_consecutive_gap,rmse,point-wise RMSE,ug_L,lower,4.3576264692549866,2.7575851169806032,6.0829890984720567,7,7,196,0,196,0,0.025285744316099298,3.8536867819629417,0.046666666666666502,0.95961538461538465,1,1,22,52
linear_interpolation,20,2,primary_controlled_consecutive_gap,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,166.4867807961752,99.437670150214188,245.84220061308591,7,7,324,0,324,0,0.0380392547350724,7.1308836187723568,0.051923076923076801,0.95799999999999996,2,2,22,63
