year,method,scenario_family,covariate,outcome,association,spearman_correlation,n_scenarios_available,covariate_minimum,covariate_maximum
2019,timesat_smoothing_spline,random_deletion,resulting_observation_density,nrmse,within_year_spearman,0.25734119469414829,400,0.077253218884119998,0.1373390557939913
2020,timesat_smoothing_spline,random_deletion,resulting_observation_density,nrmse,within_year_spearman,-0.69603537717761821,400,0.095709570957095702,0.1683168316831683
2021,timesat_smoothing_spline,random_deletion,resulting_observation_density,nrmse,within_year_spearman,-0.69508649329253058,400,0.091954022988505704,0.160919540229885
2022,timesat_smoothing_spline,random_deletion,resulting_observation_density,nrmse,within_year_spearman,0.0059837779692258307,400,0.080508474576271,0.1398305084745762
2023,timesat_smoothing_spline,random_deletion,resulting_observation_density,nrmse,within_year_spearman,-0.28336772533369492,400,0.062780269058295798,0.1076233183856502
2024,timesat_smoothing_spline,random_deletion,resulting_observation_density,nrmse,within_year_spearman,-0.44988715139499835,400,0.092920353982300696,0.15929203539823
2025,timesat_smoothing_spline,random_deletion,resulting_observation_density,nrmse,within_year_spearman,-0.13059740655164725,400,0.099601593625498003,0.1713147410358565
2019,timesat_smoothing_spline,random_deletion,resulting_observation_density,peak_timing_success_10d,within_year_spearman,0.17066206703758491,400,0.077253218884119998,0.1373390557939913
2020,timesat_smoothing_spline,random_deletion,resulting_observation_density,peak_timing_success_10d,within_year_spearman,-0.051639777949432225,400,0.095709570957095702,0.1683168316831683
2021,timesat_smoothing_spline,random_deletion,resulting_observation_density,peak_timing_success_10d,within_year_spearman,0.28909779241207217,400,0.091954022988505704,0.160919540229885
2022,timesat_smoothing_spline,random_deletion,resulting_observation_density,peak_timing_success_10d,within_year_spearman,-0.33188676054823479,400,0.080508474576271,0.1398305084745762
2023,timesat_smoothing_spline,random_deletion,resulting_observation_density,peak_timing_success_10d,within_year_spearman,0.16556318284174884,400,0.062780269058295798,0.1076233183856502
2024,timesat_smoothing_spline,random_deletion,resulting_observation_density,peak_timing_success_10d,within_year_spearman,0.10999005454045424,400,0.092920353982300696,0.15929203539823
2025,timesat_smoothing_spline,random_deletion,resulting_observation_density,peak_timing_success_10d,within_year_spearman,,400,0.099601593625498003,0.1713147410358565
