duration_days,method_a,method_b,metric,analysis_role,metric_label,unit,favorable_direction,mean_raw_difference_a_minus_b,raw_difference_ci_lower,raw_difference_ci_upper,mean_advantage_for_method_a,advantage_ci_lower,advantage_ci_upper,n_paired_years,n_years_method_a_favored,n_years_method_b_favored,n_year_ties
30,linear_interpolation,timesat_double_logistic,absolute_relative_integral_error,primary_controlled_consecutive_gap,absolute relative common-support integral error,fraction,lower,0.001780326827950671,-0.024028179138486264,0.02351962446558788,-0.001780326827950671,-0.023370682040023821,0.023905323097594185,7,2,5,0
30,linear_interpolation,timesat_double_logistic,normalized_absolute_peak_magnitude_error,primary_controlled_consecutive_gap,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,-0.47394033755325538,-0.74315528348817705,-0.23067415204816361,0.47394033755325538,0.22733884054289458,0.73989498529169495,7,7,0,0
30,linear_interpolation,timesat_double_logistic,nrmse,primary_controlled_consecutive_gap,point-wise nRMSE,fraction_Q95_minus_Q05,lower,-0.042256886558417736,-0.068366097065210699,-0.01915137627565364,0.042256886558417736,0.019132187944489894,0.069757667167495568,7,7,0,0
30,linear_interpolation,timesat_double_logistic,peak_timing_success_10d,primary_controlled_consecutive_gap,global-peak timing success <=10 d,fraction,higher,0.091477866715125339,-0.065357206278615493,0.36106650507498866,0.091477866715125339,-0.065119642492257809,0.3617737186534894,7,2,3,2
30,linear_interpolation,timesat_double_logistic,peak_timing_success_15d,primary_controlled_consecutive_gap,global-peak timing success <=15 d,fraction,higher,0.017613108357018382,-0.060096643294475283,0.13986146256677659,0.017613108357018382,-0.060113154172560086,0.13986146256677659,7,1,3,3
30,linear_interpolation,timesat_double_logistic,peak_timing_success_5d,primary_controlled_consecutive_gap,global-peak timing success <=5 d,fraction,higher,0.037219068735529,-0.34516238861941723,0.38179402385777134,0.037219068735529,-0.33930158275861139,0.4015557121885146,7,2,3,2
30,linear_interpolation,timesat_double_logistic,pearson_correlation,primary_controlled_consecutive_gap,daily trajectory Pearson correlation,correlation,higher,0.118586949235559,0.059472014492456884,0.18117614557186767,0.118586949235559,0.060585958035100917,0.18108297763127826,7,7,0,0
30,linear_interpolation,timesat_double_logistic,rmse,primary_controlled_consecutive_gap,point-wise RMSE,ug_L,lower,-0.88227976142605191,-1.4554506718124374,-0.37444866211694122,0.88227976142605191,0.36933486497907814,1.4557467343195747,7,7,0,0
30,linear_interpolation,timesat_smoothing_spline,absolute_integral_error,primary_controlled_consecutive_gap,absolute common-support integral error,ug_day_L,lower,-39.866542706772556,-68.960076116374765,-10.084377505574443,39.866542706772556,9.8544822763422939,69.029561592689021,7,6,1,0
30,linear_interpolation,timesat_smoothing_spline,absolute_peak_date_error_days,primary_controlled_consecutive_gap,absolute global-peak date error,days,lower,-13.596093124457996,-41.259783540638402,2.7157307877665313,13.596093124457996,-2.8484407974959014,41.211270098792184,7,5,2,0
30,linear_interpolation,timesat_smoothing_spline,absolute_relative_integral_error,primary_controlled_consecutive_gap,absolute relative common-support integral error,fraction,lower,-0.026406767054613471,-0.046581113144966303,-0.0069873938812363007,0.026406767054613471,0.0073008985938590315,0.047147161496676575,7,6,1,0
30,linear_interpolation,timesat_smoothing_spline,normalized_absolute_peak_magnitude_error,primary_controlled_consecutive_gap,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,-0.19745889256631943,-0.37871027952013137,-0.048350502644772406,0.19745889256631943,0.048350502644772406,0.39333361882305046,7,7,0,0
30,linear_interpolation,timesat_smoothing_spline,nrmse,primary_controlled_consecutive_gap,point-wise nRMSE,fraction_Q95_minus_Q05,lower,-0.025513134716500022,-0.041936846674763863,-0.0085273542914649503,0.025513134716500022,0.0090734517197690479,0.041936846674763863,7,5,2,0
30,linear_interpolation,timesat_smoothing_spline,peak_timing_success_10d,primary_controlled_consecutive_gap,global-peak timing success <=10 d,fraction,higher,0.05682198435156658,-0.048709486333248696,0.23819847722286744,0.05682198435156658,-0.048716205869671195,0.23675785697036605,7,1,3,3
30,linear_interpolation,timesat_smoothing_spline,peak_timing_success_15d,primary_controlled_consecutive_gap,global-peak timing success <=15 d,fraction,higher,-0.022745602533093472,-0.049721267132520446,0.002930402930402936,-0.022745602533093472,-0.049862228249091319,0.00056980056980058104,7,1,3,3
30,linear_interpolation,timesat_smoothing_spline,peak_timing_success_5d,primary_controlled_consecutive_gap,global-peak timing success <=5 d,fraction,higher,0.085582156099207801,-0.084126984126984147,0.33987404031408436,0.085582156099207801,-0.084126984126984147,0.33946251768033953,7,2,2,3
30,linear_interpolation,timesat_smoothing_spline,pearson_correlation,primary_controlled_consecutive_gap,daily trajectory Pearson correlation,correlation,higher,0.041653904677605005,0.01667340352922559,0.069080532751091286,0.041653904677605005,0.01686580999745476,0.069080532751091286,7,7,0,0
30,linear_interpolation,timesat_smoothing_spline,rmse,primary_controlled_consecutive_gap,point-wise RMSE,ug_L,lower,-0.47826446745581486,-0.80622277335057768,-0.12978869928807621,0.47826446745581486,0.13234768243183062,0.80505544829855979,7,5,2,0
30,timesat_smoothing_spline,timesat_double_logistic,absolute_integral_error,primary_controlled_consecutive_gap,absolute common-support integral error,ug_day_L,lower,43.274146166157834,-27.009803392913664,96.266735719647002,-43.274146166157834,-96.792908075687478,27.785800181418118,7,1,6,0
30,timesat_smoothing_spline,timesat_double_logistic,absolute_peak_date_error_days,primary_controlled_consecutive_gap,absolute global-peak date error,days,lower,-7.6630844709913211,-23.132954356025579,3.4864822921733514,7.6630844709913211,-3.5753932996762168,23.324246562169268,7,3,4,0
30,timesat_smoothing_spline,timesat_double_logistic,absolute_relative_integral_error,primary_controlled_consecutive_gap,absolute relative common-support integral error,fraction,lower,0.028187093882564136,-0.01290295525293118,0.058481768961826677,-0.028187093882564136,-0.058481768961826677,0.011777510213219331,7,1,6,0
30,timesat_smoothing_spline,timesat_double_logistic,normalized_absolute_peak_magnitude_error,primary_controlled_consecutive_gap,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,-0.27648144498693594,-0.40938296821570186,-0.13014964485405797,0.27648144498693594,0.12456270142347121,0.40904209038494049,7,6,1,0
30,timesat_smoothing_spline,timesat_double_logistic,nrmse,primary_controlled_consecutive_gap,point-wise nRMSE,fraction_Q95_minus_Q05,lower,-0.016743751841917721,-0.040238792237668672,0.0088530085029665528,0.016743751841917721,-0.0086715645945750121,0.04016852205763189,7,5,2,0
30,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_10d,primary_controlled_consecutive_gap,global-peak timing success <=10 d,fraction,higher,0.034655882363558752,-0.28439523265786376,0.37404595762083692,0.034655882363558752,-0.28497407768115324,0.37404595762083687,7,2,3,2
