omitted_year,method,metric,metric_label,unit,favorable_direction,equal_year_estimate_after_omission,n_years_retained
2021,linear_interpolation,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.84664569462684336,6
2022,linear_interpolation,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.86841311436454915,6
2023,linear_interpolation,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.86037273626380462,6
2024,linear_interpolation,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.86666564261149548,6
2025,linear_interpolation,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.88023248030926016,6
2019,linear_interpolation,rmse,point-wise RMSE,ug_L,lower,3.8271908821075233,6
2020,linear_interpolation,rmse,point-wise RMSE,ug_L,lower,4.5733619857397709,6
2021,linear_interpolation,rmse,point-wise RMSE,ug_L,lower,4.7378383834915825,6
2022,linear_interpolation,rmse,point-wise RMSE,ug_L,lower,4.3060910476281622,6
2023,linear_interpolation,rmse,point-wise RMSE,ug_L,lower,4.7728118816133218,6
2024,linear_interpolation,rmse,point-wise RMSE,ug_L,lower,4.5036917721758263,6
2025,linear_interpolation,rmse,point-wise RMSE,ug_L,lower,3.7506274357146583,6
2019,timesat_double_logistic,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,56.214448673903085,6
2020,timesat_double_logistic,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,145.91631329083376,6
2021,timesat_double_logistic,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,125.06423130453231,6
2022,timesat_double_logistic,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,137.82043969157908,6
2023,timesat_double_logistic,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,135.04444760261086,6
2024,timesat_double_logistic,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,137.64444487605343,6
2025,timesat_double_logistic,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,144.01403933685424,6
2019,timesat_double_logistic,absolute_peak_date_error_days,absolute global-peak date error,days,lower,62.666666666666664,6
2020,timesat_double_logistic,absolute_peak_date_error_days,absolute global-peak date error,days,lower,38.25,6
2021,timesat_double_logistic,absolute_peak_date_error_days,absolute global-peak date error,days,lower,61.083333333333336,6
2022,timesat_double_logistic,absolute_peak_date_error_days,absolute global-peak date error,days,lower,63.25,6
2023,timesat_double_logistic,absolute_peak_date_error_days,absolute global-peak date error,days,lower,63.083333333333336,6
2024,timesat_double_logistic,absolute_peak_date_error_days,absolute global-peak date error,days,lower,63.25,6
2025,timesat_double_logistic,absolute_peak_date_error_days,absolute global-peak date error,days,lower,28.916666666666668,6
2019,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,27.156452069854737,6
2020,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,29.223418267822268,6
2021,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,30.08155159835815,6
2022,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,26.391924700673417,6
2023,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,33.706684508514407,6
2024,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,30.551403524017335,6
2025,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,25.163460022226971,6
2019,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.041135002957390226,6
2020,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.089110549753649959,6
2021,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.074760431696991203,6
2022,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.08314328885400453,6
2023,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.078428657992925796,6
2024,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.082846666904093882,6
2025,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.088483329287597001,6
2019,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,2.8570684731408256,6
2020,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,3.0573472800565735,6
2021,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,3.1014265034859005,6
2022,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,3.1245919470737324,6
2023,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,3.338082081227562,6
2024,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,3.1147378531726635,6
2025,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,2.7802586500294972,6
2019,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,1.2921757919290904,6
2020,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,1.3084738092044803,6
2021,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,1.3578382763817416,6
2022,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,1.0860936024241081,6
2023,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,1.5211724477144566,6
2024,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,1.3279916619432612,6
2025,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,1.2365518195651113,6
2019,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.24683242302162464,6
2020,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.24978556833021892,6
2021,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.25714413664674707,6
2022,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.23637418209841732,6
2023,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.26248812470967831,6
2024,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.25458976068332378,6
2025,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.24598003013736336,6
2019,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.5,6
2020,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.66666666666666663,6
2021,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.66666666666666663,6
2022,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.5,6
2023,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.5,6
2024,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.5,6
2025,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.66666666666666663,6
2019,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.66666666666666663,6
2020,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.83333333333333337,6
2021,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.66666666666666663,6
