scenario_family,level_name,level_value,method,analysis_role,metric,metric_label,unit,favorable_direction,equal_year_estimate,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,n_years_metric_available,n_scenarios_total,n_reconstruction_failures_total
random_deletion,deletion_fraction,0.10000000000000001,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,global_peak_success_fraction_10d,global-peak timing success <=10 d,fraction,higher,0.73142857142857143,0.42425000000000002,0.99428571428571444,7,700,0
random_deletion,deletion_fraction,0.10000000000000001,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_absolute_global_peak_timing_error_days,absolute global-peak date error,days,lower,49.557142857142864,3.3485714285714288,107.98285714285716,7,700,0
random_deletion,deletion_fraction,0.10000000000000001,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_absolute_integral_error,absolute common-support integral error,ug_day_L,lower,152.00422865497598,81.834970576156891,263.11399099087913,7,700,0
random_deletion,deletion_fraction,0.10000000000000001,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_event_recovery_fraction_10d,major-event recovery <=10 d,fraction,higher,0.50678571428571428,0.29321428571428571,0.71738095238095245,7,700,0
random_deletion,deletion_fraction,0.10000000000000001,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.24257464999353864,0.21166823068437593,0.27439916241250101,7,700,0
random_deletion,deletion_fraction,0.10000000000000001,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.76862498632770693,0.72262504000392003,0.81179514249467422,7,700,0
random_deletion,deletion_fraction,0.10000000000000001,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,global_peak_success_fraction_10d,global-peak timing success <=10 d,fraction,higher,0.57714285714285718,0.1642857142857142,0.8600000000000001,7,700,0
random_deletion,deletion_fraction,0.10000000000000001,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,mean_absolute_global_peak_timing_error_days,absolute global-peak date error,days,lower,58.850000000000001,9.9199999999999999,118.54142857142857,7,700,0
random_deletion,deletion_fraction,0.10000000000000001,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,mean_absolute_integral_error,absolute common-support integral error,ug_day_L,lower,147.01822509638973,68.622820497374292,278.07065261169043,7,700,0
random_deletion,deletion_fraction,0.10000000000000001,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,mean_event_recovery_fraction_10d,major-event recovery <=10 d,fraction,higher,0.34916666666666668,0.2078571428571428,0.47023809523809523,7,700,0
random_deletion,deletion_fraction,0.10000000000000001,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,mean_nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.25320848840447674,0.22055529257846898,0.28769167984684935,7,700,0
