year,method,duration_days,scenario_family,covariate,outcome,association,spearman_correlation,n_scenarios_available,covariate_minimum,covariate_maximum
2022,linear_interpolation,20,consecutive_internal_gap,a_gap,peak_timing_success_10d,within_year_spearman,-0.49046347870384233,215,0.15818383005108941,7.3062726367413138
2023,linear_interpolation,20,consecutive_internal_gap,a_gap,peak_timing_success_10d,within_year_spearman,,167,0.29375782833441477,3.1924583990326374
2024,linear_interpolation,20,consecutive_internal_gap,a_gap,peak_timing_success_10d,within_year_spearman,-0.50088357880506484,205,0.171406115102678,7.6615928867289567
2025,linear_interpolation,20,consecutive_internal_gap,a_gap,peak_timing_success_10d,within_year_spearman,,230,0.083231499093957301,8.4836828108751803
2019,linear_interpolation,20,consecutive_internal_gap,observations_removed,absolute_peak_date_error_days,within_year_spearman,0.34093914412767068,207,1,6
2020,linear_interpolation,20,consecutive_internal_gap,observations_removed,absolute_peak_date_error_days,within_year_spearman,0.2695077452785285,261,1,8
2021,linear_interpolation,20,consecutive_internal_gap,observations_removed,absolute_peak_date_error_days,within_year_spearman,0.058021439547236431,240,1,7
2022,linear_interpolation,20,consecutive_internal_gap,observations_removed,absolute_peak_date_error_days,within_year_spearman,-0.0048039152782255647,215,1,5
2023,linear_interpolation,20,consecutive_internal_gap,observations_removed,absolute_peak_date_error_days,within_year_spearman,0.15516183596702124,167,1,7
2024,linear_interpolation,20,consecutive_internal_gap,observations_removed,absolute_peak_date_error_days,within_year_spearman,0.18922787533432081,205,1,7
2025,linear_interpolation,20,consecutive_internal_gap,observations_removed,absolute_peak_date_error_days,within_year_spearman,0.087274065787444566,230,1,7
2019,linear_interpolation,20,consecutive_internal_gap,observations_removed,nrmse,within_year_spearman,0.11771837562355365,207,1,6
2020,linear_interpolation,20,consecutive_internal_gap,observations_removed,nrmse,within_year_spearman,0.12273204589651382,261,1,8
2021,linear_interpolation,20,consecutive_internal_gap,observations_removed,nrmse,within_year_spearman,-0.092329751510792438,240,1,7
2022,linear_interpolation,20,consecutive_internal_gap,observations_removed,nrmse,within_year_spearman,-0.34698104802129653,215,1,5
2023,linear_interpolation,20,consecutive_internal_gap,observations_removed,nrmse,within_year_spearman,0.32564310779249778,167,1,7
2024,linear_interpolation,20,consecutive_internal_gap,observations_removed,nrmse,within_year_spearman,-0.45129828008190254,205,1,7
2025,linear_interpolation,20,consecutive_internal_gap,observations_removed,nrmse,within_year_spearman,0.055801332757770029,230,1,7
2019,linear_interpolation,20,consecutive_internal_gap,observations_removed,peak_timing_success_10d,within_year_spearman,-0.29249376452427978,207,1,6
2020,linear_interpolation,20,consecutive_internal_gap,observations_removed,peak_timing_success_10d,within_year_spearman,,261,1,8
2021,linear_interpolation,20,consecutive_internal_gap,observations_removed,peak_timing_success_10d,within_year_spearman,0.027713501279607287,240,1,7
2022,linear_interpolation,20,consecutive_internal_gap,observations_removed,peak_timing_success_10d,within_year_spearman,-0.0045433965844240195,215,1,5
2023,linear_interpolation,20,consecutive_internal_gap,observations_removed,peak_timing_success_10d,within_year_spearman,,167,1,7
2024,linear_interpolation,20,consecutive_internal_gap,observations_removed,peak_timing_success_10d,within_year_spearman,-0.19468237658001505,205,1,7
2025,linear_interpolation,20,consecutive_internal_gap,observations_removed,peak_timing_success_10d,within_year_spearman,,230,1,7
2019,linear_interpolation,20,consecutive_internal_gap,window_midpoint_relative_position,absolute_peak_date_error_days,within_year_spearman,0.089766279980064395,207,0.045258620689655103,0.95474137931034475
2020,linear_interpolation,20,consecutive_internal_gap,window_midpoint_relative_position,absolute_peak_date_error_days,within_year_spearman,0.042058372689842909,261,0.042222222222222203,0.95333333333333325
2021,linear_interpolation,20,consecutive_internal_gap,window_midpoint_relative_position,absolute_peak_date_error_days,within_year_spearman,-0.47905758715267033,240,0.0403846153846152,0.95961538461538465
2022,linear_interpolation,20,consecutive_internal_gap,window_midpoint_relative_position,absolute_peak_date_error_days,within_year_spearman,-0.063276303915993953,215,0.044680851063829602,0.9553191489361702
2023,linear_interpolation,20,consecutive_internal_gap,window_midpoint_relative_position,absolute_peak_date_error_days,within_year_spearman,-0.18841215304433537,167,0.0472972972972973,0.85360360360360354
2024,linear_interpolation,20,consecutive_internal_gap,window_midpoint_relative_position,absolute_peak_date_error_days,within_year_spearman,0.15123869497115369,205,0.046666666666666502,0.95333333333333325
2025,linear_interpolation,20,consecutive_internal_gap,window_midpoint_relative_position,absolute_peak_date_error_days,within_year_spearman,-0.12374892150493456,230,0.042000000000000003,0.95799999999999996
2019,linear_interpolation,20,consecutive_internal_gap,window_midpoint_relative_position,nrmse,within_year_spearman,0.10762892486529063,207,0.045258620689655103,0.95474137931034475
2020,linear_interpolation,20,consecutive_internal_gap,window_midpoint_relative_position,nrmse,within_year_spearman,0.10607617098367575,261,0.042222222222222203,0.95333333333333325
2021,linear_interpolation,20,consecutive_internal_gap,window_midpoint_relative_position,nrmse,within_year_spearman,-0.12558320969281825,240,0.0403846153846152,0.95961538461538465
2022,linear_interpolation,20,consecutive_internal_gap,window_midpoint_relative_position,nrmse,within_year_spearman,-0.10786326941323771,215,0.044680851063829602,0.9553191489361702
2023,linear_interpolation,20,consecutive_internal_gap,window_midpoint_relative_position,nrmse,within_year_spearman,0.051664893787714571,167,0.0472972972972973,0.85360360360360354
2024,linear_interpolation,20,consecutive_internal_gap,window_midpoint_relative_position,nrmse,within_year_spearman,0.13477467502205717,205,0.046666666666666502,0.95333333333333325
2025,linear_interpolation,20,consecutive_internal_gap,window_midpoint_relative_position,nrmse,within_year_spearman,-0.26745863391609226,230,0.042000000000000003,0.95799999999999996
