method,deletion_fraction,analysis_role,metric,metric_label,unit,favorable_direction,equal_year_estimate,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,n_years_in_stratum,n_years_metric_available,n_scenarios_total,n_reconstruction_failures_total,n_metric_available_total,n_metric_unavailable_total,observations_remaining_observed_minimum,observations_remaining_observed_maximum,resulting_observation_density_observed_minimum,resulting_observation_density_observed_maximum,resulting_maximum_internal_gap_days_observed_minimum,resulting_maximum_internal_gap_days_observed_maximum,n_delete_observed_minimum,n_delete_observed_maximum
linear_interpolation,0.5,primary_controlled_random_deletion,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.1291668314952473,0.10321569046521796,0.15831385480440133,7,7,700,0,700,0,14,29,0.062780269058295798,0.099601593625498003,20,117,13,27
linear_interpolation,0.5,primary_controlled_random_deletion,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.95695908842422184,0.44890989217199007,1.5501916745534292,7,7,700,0,700,0,14,29,0.062780269058295798,0.099601593625498003,20,117,13,27
linear_interpolation,0.5,primary_controlled_random_deletion,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.24695242662189684,0.21952687499076512,0.27292209176222298,7,7,700,0,700,0,14,29,0.062780269058295798,0.099601593625498003,20,117,13,27
linear_interpolation,0.5,primary_controlled_random_deletion,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.57857142857142851,0.31714285714285712,0.81142857142857139,7,7,700,0,700,0,14,29,0.062780269058295798,0.099601593625498003,20,117,13,27
linear_interpolation,0.5,primary_controlled_random_deletion,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.64714285714285713,0.35999999999999999,0.89860714285714238,7,7,700,0,700,0,14,29,0.062780269058295798,0.099601593625498003,20,117,13,27
linear_interpolation,0.5,primary_controlled_random_deletion,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.46571428571428569,0.18285714285714286,0.74571428571428566,7,7,700,0,700,0,14,29,0.062780269058295798,0.099601593625498003,20,117,13,27
linear_interpolation,0.5,primary_controlled_random_deletion,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.78083642950282528,0.75206118206026151,0.80996474817027275,7,7,700,0,700,0,14,29,0.062780269058295798,0.099601593625498003,20,117,13,27
linear_interpolation,0.5,primary_controlled_random_deletion,rmse,point-wise RMSE,ug_L,lower,5.186731613511566,3.8136533152941117,6.5016976627638456,7,7,700,0,700,0,14,29,0.062780269058295798,0.099601593625498003,20,117,13,27
timesat_double_logistic,0.10000000000000001,primary_controlled_random_deletion,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,147.01822509638973,68.622820497374292,278.13504330901554,7,7,700,0,700,0,24,51,0.1076233183856502,0.1713147410358565,15,60,3,5
timesat_double_logistic,0.10000000000000001,primary_controlled_random_deletion,absolute_peak_date_error_days,absolute global-peak date error,days,lower,58.850000000000001,9.9193214285714291,118.54142857142857,7,7,700,0,700,0,24,51,0.1076233183856502,0.1713147410358565,15,60,3,5
timesat_double_logistic,0.10000000000000001,primary_controlled_random_deletion,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.087250859133282038,0.042811994784304294,0.15694781595105697,7,7,700,0,700,0,24,51,0.1076233183856502,0.1713147410358565,15,60,3,5
timesat_double_logistic,0.10000000000000001,primary_controlled_random_deletion,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,1.3032048385181387,0.77363675457624781,1.8422352070789867,7,7,700,0,700,0,24,51,0.1076233183856502,0.1713147410358565,15,60,3,5
timesat_double_logistic,0.10000000000000001,primary_controlled_random_deletion,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.25320848840447674,0.22074250374456411,0.28763215407582987,7,7,700,0,700,0,24,51,0.1076233183856502,0.1713147410358565,15,60,3,5
