year,method_a,method_b,metric,metric_label,unit,favorable_direction,method_a_value,method_b_value,raw_difference_a_minus_b,advantage_for_method_a
2019,linear_interpolation,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,1,1,0,0
2020,linear_interpolation,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0,0,0,0
2021,linear_interpolation,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,1,0,1,1
2022,linear_interpolation,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,1,1,0,0
2023,linear_interpolation,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,1,1,0,0
2024,linear_interpolation,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,1,1,0,0
2025,linear_interpolation,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0,0,0,0
2019,linear_interpolation,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,1,1,0,0
2020,linear_interpolation,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0,0,0,0
2021,linear_interpolation,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,1,1,0,0
2022,linear_interpolation,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,1,1,0,0
2023,linear_interpolation,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,1,1,0,0
2024,linear_interpolation,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,1,1,0,0
2025,linear_interpolation,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0,0,0,0
2019,linear_interpolation,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,1,1,0,0
2020,linear_interpolation,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0,0,0,0
2021,linear_interpolation,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,1,0,1,1
2022,linear_interpolation,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0,1,-1,-1
2023,linear_interpolation,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,1,1,0,0
2024,linear_interpolation,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,1,1,0,0
2025,linear_interpolation,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0,0,0,0
2019,linear_interpolation,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.81495958543044633,0.80039558192864046,0.014564003501805867,0.014564003501805867
2020,linear_interpolation,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.93002296267654316,0.66486755162307987,0.2651554110534633,0.2651554110534633
2021,linear_interpolation,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.96737469747612137,0.7074911646466352,0.25988353282948617,0.25988353282948617
2022,linear_interpolation,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.83677017904988671,0.68971023098309792,0.14705994806678879,0.14705994806678879
2023,linear_interpolation,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.88501244765435394,0.86203013794015915,0.022982309714194793,0.022982309714194793
2024,linear_interpolation,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.84725500956820921,0.79252834296939945,0.054726666598809759,0.054726666598809759
2025,linear_interpolation,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.76585398338162125,0.67556240869231543,0.09029157468930582,0.09029157468930582
