method,duration_days,activity_class,analysis_role,metric,metric_label,unit,favorable_direction,equal_year_estimate,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,n_years_in_stratum,n_years_metric_available,n_scenarios_total,n_reconstruction_failures_total,n_metric_available_total,n_metric_unavailable_total,a_gap_observed_minimum,a_gap_observed_maximum,window_midpoint_relative_position_observed_minimum,window_midpoint_relative_position_observed_maximum,observations_removed_observed_minimum,observations_removed_observed_maximum,resulting_maximum_internal_gap_days_observed_minimum,resulting_maximum_internal_gap_days_observed_maximum
linear_interpolation,20,high,protocol_visualization_stratum_continuous_a_gap_primary,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,195.05642910162578,134.00732398578671,268.54445353136157,7,7,508,0,508,0,1.5330921111334412,11.128388419283166,0.0403846153846152,0.94199999999999995,1,8,21,63
linear_interpolation,20,high,protocol_visualization_stratum_continuous_a_gap_primary,absolute_peak_date_error_days,absolute global-peak date error,days,lower,45.990243634599345,9.2715525585058831,100.9900730275664,7,7,508,0,508,0,1.5330921111334412,11.128388419283166,0.0403846153846152,0.94199999999999995,1,8,21,63
linear_interpolation,20,high,protocol_visualization_stratum_continuous_a_gap_primary,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.11711929719102462,0.085048280051547687,0.15385223618996821,7,7,508,0,508,0,1.5330921111334412,11.128388419283166,0.0403846153846152,0.94199999999999995,1,8,21,63
linear_interpolation,20,high,protocol_visualization_stratum_continuous_a_gap_primary,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.88035673529804626,0.34554137503567561,1.5002165097869704,7,7,508,0,508,0,1.5330921111334412,11.128388419283166,0.0403846153846152,0.94199999999999995,1,8,21,63
linear_interpolation,20,high,protocol_visualization_stratum_continuous_a_gap_primary,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.23275026283104233,0.20205203264911953,0.26471100376037071,7,7,508,0,508,0,1.5330921111334412,11.128388419283166,0.0403846153846152,0.94199999999999995,1,8,21,63
linear_interpolation,20,high,protocol_visualization_stratum_continuous_a_gap_primary,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.52658975873298108,0.25210084033613445,0.78021661723075753,7,7,508,0,508,0,1.5330921111334412,11.128388419283166,0.0403846153846152,0.94199999999999995,1,8,21,63
linear_interpolation,20,high,protocol_visualization_stratum_continuous_a_gap_primary,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.58807776857106264,0.28705736974313273,0.86577001393205444,7,7,508,0,508,0,1.5330921111334412,11.128388419283166,0.0403846153846152,0.94199999999999995,1,8,21,63
linear_interpolation,20,high,protocol_visualization_stratum_continuous_a_gap_primary,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.453419027025664,0.14285714285714285,0.74008207934336523,7,7,508,0,508,0,1.5330921111334412,11.128388419283166,0.0403846153846152,0.94199999999999995,1,8,21,63
linear_interpolation,20,high,protocol_visualization_stratum_continuous_a_gap_primary,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.81893147440050229,0.79200548597160902,0.84535700390702218,7,7,508,0,508,0,1.5330921111334412,11.128388419283166,0.0403846153846152,0.94199999999999995,1,8,21,63
linear_interpolation,20,high,protocol_visualization_stratum_continuous_a_gap_primary,rmse,point-wise RMSE,ug_L,lower,4.9613857398241468,3.5163888696409393,6.5213079680662442,7,7,508,0,508,0,1.5330921111334412,11.128388419283166,0.0403846153846152,0.94199999999999995,1,8,21,63
