deletion_fraction,method_a,method_b,metric,analysis_role,metric_label,unit,favorable_direction,mean_raw_difference_a_minus_b,raw_difference_ci_lower,raw_difference_ci_upper,mean_advantage_for_method_a,advantage_ci_lower,advantage_ci_upper,n_paired_years,n_years_method_a_favored,n_years_method_b_favored,n_year_ties
0.20000000000000001,linear_interpolation,timesat_double_logistic,peak_timing_success_5d,primary_controlled_random_deletion,global-peak timing success <=5 d,fraction,higher,0.039999999999999987,-0.38571428571428568,0.41860714285714229,0.039999999999999987,-0.38428571428571429,0.42142857142857132,7,4,2,1
0.20000000000000001,linear_interpolation,timesat_double_logistic,pearson_correlation,primary_controlled_random_deletion,daily trajectory Pearson correlation,correlation,higher,0.11504588174116215,0.05420036735972332,0.18275085473121613,0.11504588174116215,0.053486020192067114,0.18231534584447934,7,7,0,0
0.20000000000000001,linear_interpolation,timesat_double_logistic,rmse,primary_controlled_random_deletion,point-wise RMSE,ug_L,lower,-0.87149744035250698,-1.4895550575946432,-0.33922460171304453,0.87149744035250698,0.33085744251673121,1.5020161309875308,7,6,1,0
0.20000000000000001,linear_interpolation,timesat_smoothing_spline,absolute_integral_error,primary_controlled_random_deletion,absolute common-support integral error,ug_day_L,lower,-20.452493889804156,-27.508125928030275,-11.912695296081425,20.452493889804156,11.738018435669149,27.585874544830755,7,6,1,0
0.20000000000000001,linear_interpolation,timesat_smoothing_spline,absolute_peak_date_error_days,primary_controlled_random_deletion,absolute global-peak date error,days,lower,-5.6357142857142817,-20.280071428571429,6.03000000000001,5.6357142857142817,-5.9600000000000106,20.418571428571429,7,6,1,0
0.20000000000000001,linear_interpolation,timesat_smoothing_spline,absolute_relative_integral_error,primary_controlled_random_deletion,absolute relative common-support integral error,fraction,lower,-0.013563875152714275,-0.018327266859711065,-0.0075177427416745334,0.013563875152714275,0.0076853026268266103,0.01847384936049554,7,6,1,0
0.20000000000000001,linear_interpolation,timesat_smoothing_spline,normalized_absolute_peak_magnitude_error,primary_controlled_random_deletion,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,-0.18090900116396641,-0.37441966894907192,-0.032436549828269379,0.18090900116396641,0.035009838267950483,0.37574990533185965,7,6,1,0
0.20000000000000001,linear_interpolation,timesat_smoothing_spline,nrmse,primary_controlled_random_deletion,point-wise nRMSE,fraction_Q95_minus_Q05,lower,-0.01902303520861728,-0.031508477614366023,-0.0059839088582860234,0.01902303520861728,0.0062438867373246377,0.031460702120656416,7,6,1,0
0.20000000000000001,linear_interpolation,timesat_smoothing_spline,peak_timing_success_10d,primary_controlled_random_deletion,global-peak timing success <=10 d,fraction,higher,0.062857142857142861,-0.074285714285714288,0.23142857142857146,0.062857142857142861,-0.074285714285714288,0.23142857142857146,7,3,1,3
0.20000000000000001,linear_interpolation,timesat_smoothing_spline,peak_timing_success_15d,primary_controlled_random_deletion,global-peak timing success <=15 d,fraction,higher,-0.040000000000000001,-0.12714285714285714,0.038571428571428576,-0.040000000000000001,-0.12714285714285717,0.040000000000000001,7,2,3,2
0.20000000000000001,linear_interpolation,timesat_smoothing_spline,peak_timing_success_5d,primary_controlled_random_deletion,global-peak timing success <=5 d,fraction,higher,0.070000000000000007,-0.14285714285714285,0.33000000000000002,0.070000000000000007,-0.14571428571428571,0.32714285714285712,7,3,2,2
0.20000000000000001,linear_interpolation,timesat_smoothing_spline,pearson_correlation,primary_controlled_random_deletion,daily trajectory Pearson correlation,correlation,higher,0.033359998359349698,0.012964674937675598,0.055651845614630845,0.033359998359349698,0.013096568885582801,0.055651845614630845,7,7,0,0
0.20000000000000001,linear_interpolation,timesat_smoothing_spline,rmse,primary_controlled_random_deletion,point-wise RMSE,ug_L,lower,-0.35623587168291493,-0.61663158924521411,-0.10807026444227841,0.35623587168291493,0.10769976763437976,0.61577544426670638,7,6,1,0
0.20000000000000001,timesat_smoothing_spline,timesat_double_logistic,absolute_integral_error,primary_controlled_random_deletion,absolute common-support integral error,ug_day_L,lower,15.540351232243953,-33.337195000658845,56.568586432307676,-15.540351232243953,-56.568586432307676,33.337195000658845,7,2,5,0
