method,stratification_variable,covariate_class,analysis_role,metric,metric_label,unit,favorable_direction,equal_year_estimate,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,n_years_in_stratum,n_years_metric_available,n_scenarios_total,n_reconstruction_failures_total,n_metric_available_total,n_metric_unavailable_total,observations_remaining_observed_minimum,observations_remaining_observed_maximum,resulting_observation_density_observed_minimum,resulting_observation_density_observed_maximum,resulting_maximum_internal_gap_days_observed_minimum,resulting_maximum_internal_gap_days_observed_maximum,n_delete_observed_minimum,n_delete_observed_maximum
timesat_smoothing_spline,resulting_observation_density,low,exploratory_post_hoc_visual_stratification,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.6785714285714286,0.39571428571428563,0.92285714285714282,7,7,1000,0,1000,0,14,29,0.062780269058295798,0.1072961373390558,20,117,5,27
timesat_smoothing_spline,resulting_observation_density,low,exploratory_post_hoc_visual_stratification,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.43285714285714283,0.21142857142857144,0.67285714285714282,7,7,1000,0,1000,0,14,29,0.062780269058295798,0.1072961373390558,20,117,5,27
timesat_smoothing_spline,resulting_observation_density,low,exploratory_post_hoc_visual_stratification,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.74459537772711182,0.69686549373919626,0.79159111058779275,7,7,1000,0,1000,0,14,29,0.062780269058295798,0.1072961373390558,20,117,5,27
timesat_smoothing_spline,resulting_observation_density,low,exploratory_post_hoc_visual_stratification,rmse,point-wise RMSE,ug_L,lower,5.6547105929640065,4.2496591364668133,6.927194194619986,7,7,1000,0,1000,0,14,29,0.062780269058295798,0.1072961373390558,20,117,5,27
timesat_smoothing_spline,resulting_observation_density,medium,exploratory_post_hoc_visual_stratification,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,193.03626122384202,148.10152073436612,257.35166835380465,7,7,900,0,900,0,24,40,0.1076233183856502,0.1373390557939913,15,60,3,16
timesat_smoothing_spline,resulting_observation_density,medium,exploratory_post_hoc_visual_stratification,absolute_peak_date_error_days,absolute global-peak date error,days,lower,38.857857142857142,6.7121428571428581,84.437142857142845,7,7,900,0,900,0,24,40,0.1076233183856502,0.1373390557939913,15,60,3,16
timesat_smoothing_spline,resulting_observation_density,medium,exploratory_post_hoc_visual_stratification,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.11818021258067953,0.094478609086291868,0.14826331395706685,7,7,900,0,900,0,24,40,0.1076233183856502,0.1373390557939913,15,60,3,16
timesat_smoothing_spline,resulting_observation_density,medium,exploratory_post_hoc_visual_stratification,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,1.0267296788414291,0.55274935035696149,1.5784165763277165,7,7,900,0,900,0,24,40,0.1076233183856502,0.1373390557939913,15,60,3,16
timesat_smoothing_spline,resulting_observation_density,medium,exploratory_post_hoc_visual_stratification,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.24278194558461519,0.21209282739464511,0.27066628264210058,7,7,900,0,900,0,24,40,0.1076233183856502,0.1373390557939913,15,60,3,16
timesat_smoothing_spline,resulting_observation_density,medium,exploratory_post_hoc_visual_stratification,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.6071428571428571,0.33714285714285713,0.86857142857142855,7,7,900,0,900,0,24,40,0.1076233183856502,0.1373390557939913,15,60,3,16
timesat_smoothing_spline,resulting_observation_density,medium,exploratory_post_hoc_visual_stratification,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.73142857142857143,0.43714285714285717,0.97142857142857153,7,7,900,0,900,0,24,40,0.1076233183856502,0.1373390557939913,15,60,3,16
timesat_smoothing_spline,resulting_observation_density,medium,exploratory_post_hoc_visual_stratification,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.45214285714285712,0.20642857142857146,0.73142857142857143,7,7,900,0,900,0,24,40,0.1076233183856502,0.1373390557939913,15,60,3,16
timesat_smoothing_spline,resulting_observation_density,medium,exploratory_post_hoc_visual_stratification,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.79396431692933322,0.75518658031354724,0.83165286398142657,7,7,900,0,900,0,24,40,0.1076233183856502,0.1373390557939913,15,60,3,16
