analysis_version,date,year,measurement_regime,observation_method,metric,index_value,CHLF,log10_CHLF,method_specific_support,primary_common_support,source_product_id,valid_pixel_count
erken_s2_chlf_matchup_analysis_v1.0,2019-06-28,2019,pre_2023,ACOLITE,NDCI,0.045067182438044875,1.89709,0.2780879347770145,True,True,S2B_MSIL1C_20190628T101039_N0500_R022_T34VCM_20221221T083605,9
erken_s2_chlf_matchup_analysis_v1.0,2019-06-28,2019,pre_2023,ACOLITE,MCI,-0.0017564314107100173,1.89709,0.2780879347770145,True,True,S2B_MSIL1C_20190628T101039_N0500_R022_T34VCM_20221221T083605,9
erken_s2_chlf_matchup_analysis_v1.0,2019-07-11,2019,pre_2023,L1C,NDCI,-0.05316172355903754,5.79402,0.7629799899831463,True,True,S2B_MSIL1C_20190711T102029_N0500_R065_T34VCM_20230715T214824,9
erken_s2_chlf_matchup_analysis_v1.0,2019-07-11,2019,pre_2023,L1C,MCI,-0.0018500000000000044,5.79402,0.7629799899831463,True,True,S2B_MSIL1C_20190711T102029_N0500_R065_T34VCM_20230715T214824,9
erken_s2_chlf_matchup_analysis_v1.0,2019-07-11,2019,pre_2023,L2A,NDCI,-0.009009009009008955,5.79402,0.7629799899831463,True,True,S2B_MSIL2A_20190711T102029_N0500_R065_T34VCM_20230716T055255,9
erken_s2_chlf_matchup_analysis_v1.0,2019-07-11,2019,pre_2023,L2A,MCI,0.0010666666666666672,5.79402,0.7629799899831463,True,True,S2B_MSIL2A_20190711T102029_N0500_R065_T34VCM_20230716T055255,9
erken_s2_chlf_matchup_analysis_v1.0,2019-07-11,2019,pre_2023,ACOLITE,NDCI,-0.022154654490054295,5.79402,0.7629799899831463,True,True,S2B_MSIL1C_20190711T102029_N0500_R065_T34VCM_20230715T214824,9
erken_s2_chlf_matchup_analysis_v1.0,2019-07-11,2019,pre_2023,ACOLITE,MCI,-0.0017218882838884973,5.79402,0.7629799899831463,True,True,S2B_MSIL1C_20190711T102029_N0500_R065_T34VCM_20230715T214824,9
erken_s2_chlf_matchup_analysis_v1.0,2019-07-18,2019,pre_2023,L1C,NDCI,-0.025534851621808203,6.36323,0.8036776211657523,True,True,S2B_MSIL1C_20190718T101039_N0500_R022_T34VCM_20230806T134626,9
erken_s2_chlf_matchup_analysis_v1.0,2019-07-18,2019,pre_2023,L1C,MCI,-0.002171666666666669,6.36323,0.8036776211657523,True,True,S2B_MSIL1C_20190718T101039_N0500_R022_T34VCM_20230806T134626,9
erken_s2_chlf_matchup_analysis_v1.0,2019-07-18,2019,pre_2023,L2A,NDCI,0.08391608391608389,6.36323,0.8036776211657523,True,True,S2B_MSIL2A_20190718T101039_N0500_R022_T34VCM_20230806T193442,9
erken_s2_chlf_matchup_analysis_v1.0,2019-07-18,2019,pre_2023,L2A,MCI,0.0008133333333333326,6.36323,0.8036776211657523,True,True,S2B_MSIL2A_20190718T101039_N0500_R022_T34VCM_20230806T193442,9
erken_s2_chlf_matchup_analysis_v1.0,2019-07-18,2019,pre_2023,ACOLITE,NDCI,0.09260402931599465,6.36323,0.8036776211657523,True,True,S2B_MSIL1C_20190718T101039_N0500_R022_T34VCM_20230806T134626,9
erken_s2_chlf_matchup_analysis_v1.0,2019-07-18,2019,pre_2023,ACOLITE,MCI,-0.0018039592852195103,6.36323,0.8036776211657523,True,True,S2B_MSIL1C_20190718T101039_N0500_R022_T34VCM_20230806T134626,9
erken_s2_chlf_matchup_analysis_v1.0,2019-07-23,2019,pre_2023,L1C,NDCI,-0.055093143083630586,8.63214,0.9361184753187852,True,True,S2A_MSIL1C_20190723T101031_N0500_R022_T34VCM_20230718T015529,9
erken_s2_chlf_matchup_analysis_v1.0,2019-07-23,2019,pre_2023,L1C,MCI,-0.0015200000000000005,8.63214,0.9361184753187852,True,True,S2A_MSIL1C_20190723T101031_N0500_R022_T34VCM_20230718T015529,9
erken_s2_chlf_matchup_analysis_v1.0,2019-07-23,2019,pre_2023,L2A,NDCI,0.02222222222222218,8.63214,0.9361184753187852,True,True,S2A_MSIL2A_20190723T101031_N0500_R022_T34VCM_20230719T012350,9
erken_s2_chlf_matchup_analysis_v1.0,2019-07-23,2019,pre_2023,L2A,MCI,0.0012666666666666677,8.63214,0.9361184753187852,True,True,S2A_MSIL2A_20190723T101031_N0500_R022_T34VCM_20230719T012350,9
erken_s2_chlf_matchup_analysis_v1.0,2019-07-23,2019,pre_2023,ACOLITE,NDCI,0.09744782652040462,8.63214,0.9361184753187852,True,True,S2A_MSIL1C_20190723T101031_N0500_R022_T34VCM_20230718T015529,9
erken_s2_chlf_matchup_analysis_v1.0,2019-07-23,2019,pre_2023,ACOLITE,MCI,-0.000709098608543476,8.63214,0.9361184753187852,True,True,S2A_MSIL1C_20190723T101031_N0500_R022_T34VCM_20230718T015529,9
erken_s2_chlf_matchup_analysis_v1.0,2019-07-26,2019,pre_2023,L1C,NDCI,-0.04852243706676398,9.5778,0.9812657640280285,True,True,S2A_MSIL1C_20190726T102031_N0500_R065_T34VCM_20230509T045252,9
erken_s2_chlf_matchup_analysis_v1.0,2019-07-26,2019,pre_2023,L1C,MCI,-0.00145,9.5778,0.9812657640280285,True,True,S2A_MSIL1C_20190726T102031_N0500_R065_T34VCM_20230509T045252,9
erken_s2_chlf_matchup_analysis_v1.0,2019-07-26,2019,pre_2023,L2A,NDCI,0.041009463722397506,9.5778,0.9812657640280285,True,True,S2A_MSIL2A_20190726T102031_N0500_R065_T34VCM_20230509T235130,9
erken_s2_chlf_matchup_analysis_v1.0,2019-07-26,2019,pre_2023,L2A,MCI,0.0012266666666666676,9.5778,0.9812657640280285,True,True,S2A_MSIL2A_20190726T102031_N0500_R065_T34VCM_20230509T235130,9
erken_s2_chlf_matchup_analysis_v1.0,2019-07-26,2019,pre_2023,ACOLITE,NDCI,0.08332885792179515,9.5778,0.9812657640280285,True,True,S2A_MSIL1C_20190726T102031_N0500_R065_T34VCM_20230509T045252,9
erken_s2_chlf_matchup_analysis_v1.0,2019-07-26,2019,pre_2023,ACOLITE,MCI,-0.0007262458403905232,9.5778,0.9812657640280285,True,True,S2A_MSIL1C_20190726T102031_N0500_R065_T34VCM_20230509T045252,9
erken_s2_chlf_matchup_analysis_v1.0,2019-07-28,2019,pre_2023,L1C,NDCI,-0.07518189167340342,7.0803,0.8500516596084559,True,True,S2B_MSIL1C_20190728T101029_N0500_R022_T34VCM_20230710T194856,9
erken_s2_chlf_matchup_analysis_v1.0,2019-07-28,2019,pre_2023,L1C,MCI,-0.0020033333333333327,7.0803,0.8500516596084559,True,True,S2B_MSIL1C_20190728T101029_N0500_R022_T34VCM_20230710T194856,9
erken_s2_chlf_matchup_analysis_v1.0,2019-07-28,2019,pre_2023,L2A,NDCI,-0.010101010101010128,7.0803,0.8500516596084559,True,True,S2B_MSIL2A_20190728T101029_N0500_R022_T34VCM_20230711T050005,9
erken_s2_chlf_matchup_analysis_v1.0,2019-07-28,2019,pre_2023,L2A,MCI,0.0006066666666666668,7.0803,0.8500516596084559,True,True,S2B_MSIL2A_20190728T101029_N0500_R022_T34VCM_20230711T050005,9
erken_s2_chlf_matchup_analysis_v1.0,2019-07-28,2019,pre_2023,ACOLITE,NDCI,0.015790534161362443,7.0803,0.8500516596084559,True,True,S2B_MSIL1C_20190728T101029_N0500_R022_T34VCM_20230710T194856,9
erken_s2_chlf_matchup_analysis_v1.0,2019-07-28,2019,pre_2023,ACOLITE,MCI,-0.0013343171526988343,7.0803,0.8500516596084559,True,True,S2B_MSIL1C_20190728T101029_N0500_R022_T34VCM_20230710T194856,9
erken_s2_chlf_matchup_analysis_v1.0,2019-08-02,2019,pre_2023,L1C,NDCI,-0.003693931398416919,9.54568,0.9798068714126261,True,False,S2A_MSIL1C_20190802T101031_N0500_R022_T34VCM_20230507T065150,9
erken_s2_chlf_matchup_analysis_v1.0,2019-08-02,2019,pre_2023,L1C,MCI,-0.00539166666666667,9.54568,0.9798068714126261,True,False,S2A_MSIL1C_20190802T101031_N0500_R022_T34VCM_20230507T065150,9
erken_s2_chlf_matchup_analysis_v1.0,2019-08-02,2019,pre_2023,L2A,NDCI,0.0968992248062015,9.54568,0.9798068714126261,True,False,S2A_MSIL2A_20190802T101031_N0500_R022_T34VCM_20230508T041636,9
erken_s2_chlf_matchup_analysis_v1.0,2019-08-02,2019,pre_2023,L2A,MCI,-0.0012533333333333355,9.54568,0.9798068714126261,True,False,S2A_MSIL2A_20190802T101031_N0500_R022_T34VCM_20230508T041636,9
erken_s2_chlf_matchup_analysis_v1.0,2019-08-05,2019,pre_2023,L1C,NDCI,-0.06029579067121728,16.2513,1.2108881074837772,True,True,S2A_MSIL1C_20190805T102031_N0500_R065_T34VCM_20230506T110027,9
erken_s2_chlf_matchup_analysis_v1.0,2019-08-05,2019,pre_2023,L1C,MCI,-0.002306666666666665,16.2513,1.2108881074837772,True,True,S2A_MSIL1C_20190805T102031_N0500_R065_T34VCM_20230506T110027,9
erken_s2_chlf_matchup_analysis_v1.0,2019-08-05,2019,pre_2023,L2A,NDCI,0.0,16.2513,1.2108881074837772,True,True,S2A_MSIL2A_20190805T102031_N0500_R065_T34VCM_20230506T211615,9
erken_s2_chlf_matchup_analysis_v1.0,2019-08-05,2019,pre_2023,L2A,MCI,0.0012333333333333328,16.2513,1.2108881074837772,True,True,S2A_MSIL2A_20190805T102031_N0500_R065_T34VCM_20230506T211615,9
erken_s2_chlf_matchup_analysis_v1.0,2019-08-05,2019,pre_2023,ACOLITE,NDCI,-0.08894434630140124,16.2513,1.2108881074837772,True,True,S2A_MSIL1C_20190805T102031_N0500_R065_T34VCM_20230506T110027,9
erken_s2_chlf_matchup_analysis_v1.0,2019-08-05,2019,pre_2023,ACOLITE,MCI,-0.002047241479158402,16.2513,1.2108881074837772,True,True,S2A_MSIL1C_20190805T102031_N0500_R065_T34VCM_20230506T110027,9
erken_s2_chlf_matchup_analysis_v1.0,2019-08-07,2019,pre_2023,ACOLITE,NDCI,0.1334296619737853,22.1273,1.344928424020391,True,False,S2B_MSIL1C_20190807T101029_N0500_R022_T34VCM_20230722T223108,8
erken_s2_chlf_matchup_analysis_v1.0,2019-08-07,2019,pre_2023,ACOLITE,MCI,-0.0005193235973517084,22.1273,1.344928424020391,True,False,S2B_MSIL1C_20190807T101029_N0500_R022_T34VCM_20230722T223108,8
erken_s2_chlf_matchup_analysis_v1.0,2019-08-22,2019,pre_2023,L1C,NDCI,0.010823055625471931,25.7562,1.4108817887822214,True,True,S2A_MSIL1C_20190822T101031_N0500_R022_T34VCM_20230705T195754,9
erken_s2_chlf_matchup_analysis_v1.0,2019-08-22,2019,pre_2023,L1C,MCI,0.004138333333333334,25.7562,1.4108817887822214,True,True,S2A_MSIL1C_20190822T101031_N0500_R022_T34VCM_20230705T195754,9
erken_s2_chlf_matchup_analysis_v1.0,2019-08-22,2019,pre_2023,L2A,NDCI,0.11733800350262694,25.7562,1.4108817887822214,True,True,S2A_MSIL2A_20190822T101031_N0500_R022_T34VCM_20230706T042034,9
erken_s2_chlf_matchup_analysis_v1.0,2019-08-22,2019,pre_2023,L2A,MCI,0.009006666666666666,25.7562,1.4108817887822214,True,True,S2A_MSIL2A_20190822T101031_N0500_R022_T34VCM_20230706T042034,9
erken_s2_chlf_matchup_analysis_v1.0,2019-08-22,2019,pre_2023,ACOLITE,NDCI,0.15773035465288882,25.7562,1.4108817887822214,True,True,S2A_MSIL1C_20190822T101031_N0500_R022_T34VCM_20230705T195754,6
erken_s2_chlf_matchup_analysis_v1.0,2019-08-22,2019,pre_2023,ACOLITE,MCI,0.006088582488397757,25.7562,1.4108817887822214,True,True,S2A_MSIL1C_20190822T101031_N0500_R022_T34VCM_20230705T195754,6
erken_s2_chlf_matchup_analysis_v1.0,2019-08-25,2019,pre_2023,L1C,NDCI,0.004878048780487775,29.2368,1.4659298368770084,True,True,S2A_MSIL1C_20190825T102031_N0500_R065_T34VCM_20230430T034035,9
erken_s2_chlf_matchup_analysis_v1.0,2019-08-25,2019,pre_2023,L1C,MCI,0.003846666666666665,29.2368,1.4659298368770084,True,True,S2A_MSIL1C_20190825T102031_N0500_R065_T34VCM_20230430T034035,9
erken_s2_chlf_matchup_analysis_v1.0,2019-08-25,2019,pre_2023,L2A,NDCI,0.16216216216216223,29.2368,1.4659298368770084,True,True,S2A_MSIL2A_20190825T102031_N0500_R065_T34VCM_20230430T190322,9
erken_s2_chlf_matchup_analysis_v1.0,2019-08-25,2019,pre_2023,L2A,MCI,0.009080000000000001,29.2368,1.4659298368770084,True,True,S2A_MSIL2A_20190825T102031_N0500_R065_T34VCM_20230430T190322,9
erken_s2_chlf_matchup_analysis_v1.0,2019-08-25,2019,pre_2023,ACOLITE,NDCI,0.16823393578718646,29.2368,1.4659298368770084,True,True,S2A_MSIL1C_20190825T102031_N0500_R065_T34VCM_20230430T034035,9
erken_s2_chlf_matchup_analysis_v1.0,2019-08-25,2019,pre_2023,ACOLITE,MCI,0.005703854188323022,29.2368,1.4659298368770084,True,True,S2A_MSIL1C_20190825T102031_N0500_R065_T34VCM_20230430T034035,9
erken_s2_chlf_matchup_analysis_v1.0,2019-08-27,2019,pre_2023,L1C,NDCI,0.016186556927297712,20.134,1.3039300642753686,True,True,S2B_MSIL1C_20190827T101029_N0500_R022_T34VCM_20230523T230349,9
erken_s2_chlf_matchup_analysis_v1.0,2019-08-27,2019,pre_2023,L1C,MCI,0.00410166666666667,20.134,1.3039300642753686,True,True,S2B_MSIL1C_20190827T101029_N0500_R022_T34VCM_20230523T230349,9
erken_s2_chlf_matchup_analysis_v1.0,2019-08-27,2019,pre_2023,L2A,NDCI,0.16738197424892698,20.134,1.3039300642753686,True,True,S2B_MSIL2A_20190827T101029_N0500_R022_T34VCM_20230524T153400,9
erken_s2_chlf_matchup_analysis_v1.0,2019-08-27,2019,pre_2023,L2A,MCI,0.008759999999999997,20.134,1.3039300642753686,True,True,S2B_MSIL2A_20190827T101029_N0500_R022_T34VCM_20230524T153400,9
