date,year,l2a_representative_status,scl_gate_pass,l2a_product_id,l2a_platform,l2a_sensing_datetime,l2a_tile,l2a_relative_orbit,l2a_processing_baseline,l2a_generation_time,l1c_pairing_status,l1c_product_id,l1c_platform,l1c_sensing_datetime,l1c_tile,l1c_relative_orbit,l1c_processing_baseline,l1c_generation_time,l1c_candidate_count,l1c_candidate_product_ids,pairing_detail
2019-08-10,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-08-12,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-08-15,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-08-17,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-08-20,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-08-22,2019,frozen_representative,True,S2A_MSIL2A_20190822T101031_N0500_R022_T34VCM_20230706T042034,S2A,2019-08-22T10:10:31Z,T34VCM,22,N0500,2023-07-06T04:20:34Z,exact_unique,S2A_MSIL1C_20190822T101031_N0500_R022_T34VCM_20230705T195754,S2A,2019-08-22T10:10:31Z,T34VCM,22,N0500,2023-07-05T19:57:54Z,1,S2A_MSIL1C_20190822T101031_N0500_R022_T34VCM_20230705T195754,
2019-08-25,2019,frozen_representative,True,S2A_MSIL2A_20190825T102031_N0500_R065_T34VCM_20230430T190322,S2A,2019-08-25T10:20:31Z,T34VCM,65,N0500,2023-04-30T19:03:22Z,exact_unique,S2A_MSIL1C_20190825T102031_N0500_R065_T34VCM_20230430T034035,S2A,2019-08-25T10:20:31Z,T34VCM,65,N0500,2023-04-30T03:40:35Z,1,S2A_MSIL1C_20190825T102031_N0500_R065_T34VCM_20230430T034035,
2019-08-27,2019,frozen_representative,True,S2B_MSIL2A_20190827T101029_N0500_R022_T34VCM_20230524T153400,S2B,2019-08-27T10:10:29Z,T34VCM,22,N0500,2023-05-24T15:34:00Z,exact_unique,S2B_MSIL1C_20190827T101029_N0500_R022_T34VCM_20230523T230349,S2B,2019-08-27T10:10:29Z,T34VCM,22,N0500,2023-05-23T23:03:49Z,1,S2B_MSIL1C_20190827T101029_N0500_R022_T34VCM_20230523T230349,
2019-08-30,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-09-01,2019,frozen_representative,True,S2A_MSIL2A_20190901T101031_N0500_R022_T34VCM_20230702T225854,S2A,2019-09-01T10:10:31Z,T34VCM,22,N0500,2023-07-02T22:58:54Z,exact_unique,S2A_MSIL1C_20190901T101031_N0500_R022_T34VCM_20230701T230615,S2A,2019-09-01T10:10:31Z,T34VCM,22,N0500,2023-07-01T23:06:15Z,1,S2A_MSIL1C_20190901T101031_N0500_R022_T34VCM_20230701T230615,
2019-09-04,2019,frozen_representative,True,S2A_MSIL2A_20190904T102021_N0500_R065_T34VCM_20230703T073148,S2A,2019-09-04T10:20:21Z,T34VCM,65,N0500,2023-07-03T07:31:48Z,exact_unique,S2A_MSIL1C_20190904T102021_N0500_R065_T34VCM_20230702T101739,S2A,2019-09-04T10:20:21Z,T34VCM,65,N0500,2023-07-02T10:17:39Z,1,S2A_MSIL1C_20190904T102021_N0500_R065_T34VCM_20230702T101739,
2019-09-06,2019,frozen_representative,True,S2B_MSIL2A_20190906T101029_N0500_R022_T34VCM_20230502T203254,S2B,2019-09-06T10:10:29Z,T34VCM,22,N0500,2023-05-02T20:32:54Z,exact_unique,S2B_MSIL1C_20190906T101029_N0500_R022_T34VCM_20230501T234630,S2B,2019-09-06T10:10:29Z,T34VCM,22,N0500,2023-05-01T23:46:30Z,1,S2B_MSIL1C_20190906T101029_N0500_R022_T34VCM_20230501T234630,
2019-09-09,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-09-11,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-09-14,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-09-16,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-09-19,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-09-21,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-09-24,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-09-26,2019,frozen_representative,True,S2B_MSIL2A_20190926T101029_N0500_R022_T34VCM_20230628T061823,S2B,2019-09-26T10:10:29Z,T34VCM,22,N0500,2023-06-28T06:18:23Z,exact_unique,S2B_MSIL1C_20190926T101029_N0500_R022_T34VCM_20230627T065915,S2B,2019-09-26T10:10:29Z,T34VCM,22,N0500,2023-06-27T06:59:15Z,1,S2B_MSIL1C_20190926T101029_N0500_R022_T34VCM_20230627T065915,
2019-09-29,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-10-01,2019,frozen_representative,True,S2A_MSIL2A_20191001T101031_N0500_R022_T34VCM_20230614T115927,S2A,2019-10-01T10:10:31Z,T34VCM,22,N0500,2023-06-14T11:59:27Z,exact_unique,S2A_MSIL1C_20191001T101031_N0500_R022_T34VCM_20230614T021139,S2A,2019-10-01T10:10:31Z,T34VCM,22,N0500,2023-06-14T02:11:39Z,1,S2A_MSIL1C_20191001T101031_N0500_R022_T34VCM_20230614T021139,
2019-10-04,2019,frozen_representative,True,S2A_MSIL2A_20191004T102031_N0500_R065_T34VCM_20230613T223937,S2A,2019-10-04T10:20:31Z,T34VCM,65,N0500,2023-06-13T22:39:37Z,exact_unique,S2A_MSIL1C_20191004T102031_N0500_R065_T34VCM_20230613T124317,S2A,2019-10-04T10:20:31Z,T34VCM,65,N0500,2023-06-13T12:43:17Z,1,S2A_MSIL1C_20191004T102031_N0500_R065_T34VCM_20230613T124317,
2019-10-06,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-10-09,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-10-11,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-10-14,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-10-16,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-10-19,2019,frozen_representative,True,S2B_MSIL2A_20191019T102029_N0500_R065_T34VCM_20230622T072030,S2B,2019-10-19T10:20:29Z,T34VCM,65,N0500,2023-06-22T07:20:30Z,exact_unique,S2B_MSIL1C_20191019T102029_N0500_R065_T34VCM_20230622T001059,S2B,2019-10-19T10:20:29Z,T34VCM,65,N0500,2023-06-22T00:10:59Z,1,S2B_MSIL1C_20191019T102029_N0500_R065_T34VCM_20230622T001059,
2019-10-21,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-10-24,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-10-26,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-10-29,2019,frozen_representative,True,S2B_MSIL2A_20191029T102039_N0500_R065_T34VCM_20230614T232838,S2B,2019-10-29T10:20:39Z,T34VCM,65,N0500,2023-06-14T23:28:38Z,exact_unique,S2B_MSIL1C_20191029T102039_N0500_R065_T34VCM_20230614T174242,S2B,2019-10-29T10:20:39Z,T34VCM,65,N0500,2023-06-14T17:42:42Z,1,S2B_MSIL1C_20191029T102039_N0500_R065_T34VCM_20230614T174242,
2019-10-31,2019,frozen_representative,True,S2A_MSIL2A_20191031T101141_N0500_R022_T34VCM_20230527T114942,S2A,2019-10-31T10:11:41Z,T34VCM,22,N0500,2023-05-27T11:49:42Z,exact_unique,S2A_MSIL1C_20191031T101141_N0500_R022_T34VCM_20230527T075200,S2A,2019-10-31T10:11:41Z,T34VCM,22,N0500,2023-05-27T07:52:00Z,1,S2A_MSIL1C_20191031T101141_N0500_R022_T34VCM_20230527T075200,
2019-11-03,2019,frozen_representative,True,S2A_MSIL2A_20191103T102211_N0500_R065_T34VCM_20230610T094957,S2A,2019-11-03T10:22:11Z,T34VCM,65,N0500,2023-06-10T09:49:57Z,exact_unique,S2A_MSIL1C_20191103T102211_N0500_R065_T34VCM_20230609T192718,S2A,2019-11-03T10:22:11Z,T34VCM,65,N0500,2023-06-09T19:27:18Z,1,S2A_MSIL1C_20191103T102211_N0500_R065_T34VCM_20230609T192718,
2019-11-05,2019,frozen_representative,True,S2B_MSIL2A_20191105T101119_N0500_R022_T34VCM_20230707T155633,S2B,2019-11-05T10:11:19Z,T34VCM,22,N0500,2023-07-07T15:56:33Z,exact_unique,S2B_MSIL1C_20191105T101119_N0500_R022_T34VCM_20230706T195721,S2B,2019-11-05T10:11:19Z,T34VCM,22,N0500,2023-07-06T19:57:21Z,1,S2B_MSIL1C_20191105T101119_N0500_R022_T34VCM_20230706T195721,
2019-11-08,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-11-10,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-11-13,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-11-15,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-11-18,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-11-20,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-11-23,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-11-28,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
