event_id,year,method,common_support_segment_id,reference_event_time,reference_magnitude,yearly_scale_q95_minus_q05,event_status,event_unavailable_reason,matching_window_days,magnitude_used_for_matching,matched_candidate_id,reconstructed_event_time,signed_timing_error_days,absolute_timing_error_days,success_5d,success_10d,success_15d,reconstructed_magnitude,signed_magnitude_error,absolute_magnitude_error,normalized_absolute_magnitude_error,magnitude_metric_status,magnitude_metric_reason
ERK_2024_E02,2024,timesat_smoothing_spline_0,2024_segment_1,2024-08-31,35.773899999999998,16.317387499999999,matched,,15,False,REC_2024_P008,2024-09-03,3,3,True,True,True,27.589803695678711,-8.1840963043212867,8.1840963043212867,0.50155677827233602,ok,
ERK_2024_E01,2024,timesat_smoothing_spline_selected,2024_segment_1,2024-07-19,14.2628,16.317387499999999,matched,,15,False,REC_2024_P004,2024-07-18,-1,1,True,True,True,11.871456146240234,-2.391343853759766,2.391343853759766,0.14655188238679545,ok,
ERK_2024_E02,2024,timesat_smoothing_spline_selected,2024_segment_1,2024-08-31,35.773899999999998,16.317387499999999,matched,,15,False,REC_2024_P006,2024-09-03,3,3,True,True,True,23.684806823730469,-12.089093176269529,12.089093176269529,0.74087185686247448,ok,
ERK_2025_E01,2025,linear_interpolation,2025_segment_1,2025-03-30,40.746499999999997,29.979275000000001,matched,,15,False,REC_2025_P001,2025-03-28,-2,2,True,True,True,40.700299999999999,-0.046199999999998909,0.046199999999998909,0.0015410646188074564,ok,
ERK_2025_E02,2025,linear_interpolation,2025_segment_1,2025-07-14,27.281199999999998,29.979275000000001,matched,,15,False,REC_2025_P006,2025-07-16,2,2,True,True,True,5.2949200000000003,-21.986279999999997,21.986279999999997,0.73338264517737661,ok,
ERK_2025_E03,2025,linear_interpolation,2025_segment_1,2025-08-28,37.697400000000002,29.979275000000001,matched,,15,False,REC_2025_P009,2025-08-28,0,0,True,True,True,37.697400000000002,0,0,0,ok,
ERK_2025_E04,2025,linear_interpolation,2025_segment_1,2025-10-14,83.4709,29.979275000000001,matched,,15,False,REC_2025_P011,2025-10-09,-5,5,True,True,True,14.2097,-69.261200000000002,69.261200000000002,2.310302700782457,ok,
ERK_2025_E01,2025,timesat_smoothing_spline_0,2025_segment_1,2025-03-30,40.746499999999997,29.979275000000001,matched,,15,False,REC_2025_P001,2025-03-26,-4,4,True,True,True,44.215198516845703,3.4686985168457056,3.4686985168457056,0.11570321553292084,ok,
ERK_2025_E02,2025,timesat_smoothing_spline_0,2025_segment_1,2025-07-14,27.281199999999998,29.979275000000001,matched,,15,False,REC_2025_P007,2025-07-14,0,0,True,True,True,5.9456100463867188,-21.33558995361328,21.33558995361328,0.71167798266013038,ok,
ERK_2025_E03,2025,timesat_smoothing_spline_0,2025_segment_1,2025-08-28,37.697400000000002,29.979275000000001,matched,,15,False,REC_2025_P010,2025-08-26,-2,2,True,True,True,40.644557952880859,2.9471579528808576,2.9471579528808576,0.098306511844627908,ok,
ERK_2025_E04,2025,timesat_smoothing_spline_0,2025_segment_1,2025-10-14,83.4709,29.979275000000001,matched,,15,False,REC_2025_P012,2025-10-07,-7,7,False,True,True,14.645064353942871,-68.825835646057129,68.825835646057129,2.2957805232467137,ok,
ERK_2025_E01,2025,timesat_smoothing_spline_selected,2025_segment_1,2025-03-30,40.746499999999997,29.979275000000001,matched,,15,False,REC_2025_P001,2025-03-26,-4,4,True,True,True,39.082691192626953,-1.6638088073730444,1.6638088073730444,0.055498633885343936,ok,
ERK_2025_E02,2025,timesat_smoothing_spline_selected,2025_segment_1,2025-07-14,27.281199999999998,29.979275000000001,matched,,15,False,REC_2025_P005,2025-07-15,1,1,True,True,True,5.0370965003967285,-22.24410349960327,22.24410349960327,0.74198270303745739,ok,
ERK_2025_E03,2025,timesat_smoothing_spline_selected,2025_segment_1,2025-08-28,37.697400000000002,29.979275000000001,matched,,15,False,REC_2025_P007,2025-08-26,-2,2,True,True,True,35.560092926025391,-2.1373070739746112,2.1373070739746112,0.071292820589377526,ok,
ERK_2025_E04,2025,timesat_smoothing_spline_selected,2025_segment_1,2025-10-14,83.4709,29.979275000000001,matched,,15,False,REC_2025_P008,2025-10-09,-5,5,True,True,True,13.453960418701172,-70.016939581298828,70.016939581298828,2.3355114351931068,ok,
